number,linux_name,linux_abi,linux_entry,leonos_status,leonos_dispatch_macro,leonos_dispatch_file,leonos_dispatch_line,verification_scope,verification_evidence
42,connect,common,sys_connect,routed_not_certified,LINUX_SYS_CONNECT,kernel/ntclks/syscall.c,2859,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
43,accept,common,sys_accept,routed_not_certified,LINUX_SYS_ACCEPT,kernel/ntclks/syscall.c,2860,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
44,sendto,common,sys_sendto,routed_not_certified,LINUX_SYS_SEND,kernel/ntclks/syscall.c,2864,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
45,recvfrom,64,sys_recvfrom,routed_not_certified,LINUX_SYS_RECV,kernel/ntclks/syscall.c,2865,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding; SCM_RIGHTS stream barriers across plain data, peek/waitall and partial receive PASS: build/musl/scm-boundaries-after-serial.log; Linux v6.12 reference PASS; full resources/fragmentation remain"
46,sendmsg,64,sys_sendmsg,routed_not_certified,LINUX_SYS_SENDMSG,kernel/ntclks/syscall.c,2866,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding; SCM_RIGHTS stream barriers across plain data, peek/waitall and partial receive PASS: build/musl/scm-boundaries-after-serial.log; Linux v6.12 reference PASS; full resources/fragmentation remain"
47,recvmsg,64,sys_recvmsg,routed_not_certified,LINUX_SYS_RECVMSG,kernel/ntclks/syscall.c,2867,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger; SCM_RIGHTS stream barriers across plain data, peek/waitall and partial receive PASS: build/musl/scm-boundaries-after-serial.log; Linux v6.12 reference PASS; full resources/fragmentation remain"
48,shutdown,common,sys_shutdown,routed_not_certified,LINUX_SYS_SHUTDOWN,kernel/ntclks/syscall.c,2864,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
49,bind,common,sys_bind,routed_not_certified,LINUX_SYS_BIND,kernel/ntclks/syscall.c,2861,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
50,listen,common,sys_listen,routed_not_certified,LINUX_SYS_LISTEN,kernel/ntclks/syscall.c,2862,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
51,getsockname,common,sys_getsockname,routed_not_certified,LINUX_SYS_GETSOCKNAME,kernel/ntclks/syscall.c,2862,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
52,getpeername,common,sys_getpeername,implemented_pending_runtime,LINUX_SYS_GETPEERNAME,kernel/ntclks/syscall.c,2862,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
53,socketpair,common,sys_socketpair,routed_not_certified,LINUX_SYS_SOCKETPAIR,kernel/ntclks/syscall.c,2861,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
54,setsockopt,64,sys_setsockopt,routed_not_certified,LINUX_SYS_SETSOCKOPT,kernel/ntclks/syscall.c,2863,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
55,getsockopt,64,sys_getsockopt,routed_not_certified,LINUX_SYS_GETSOCKOPT,kernel/ntclks/syscall.c,2863,partial_guest,"Static/dynamic Unix stream/packet, SCM_RIGHTS/credentials, close/reuse, WAITALL/PEEK, lowwater/timeouts, shutdown/poll/reset PASS: build/musl/fd-boundaries-after-serial.log; 32 groups PASS on Linux 6.12: build/musl/fd-boundaries-linux-reference-serial.log; buffers/options/INET/full concurrency outstanding"
56,clone,common,sys_clone,implemented_pending_runtime,LINUX_SYS_CLONE,kernel/ntclks/syscall.c,4580,partial_guest,"Static/dynamic musl TLS/contention/cancel/robust exit/worker exec and FUTEX_WAKE_OP PASS: build/musl/fd-boundaries-after-serial.log; 14 upstream pthread/synchronization cases exit 0: build/musl/final-ltp-serial.log; PI/clone3/full flags and SMP outstanding; legal unmapped and invalid CLONE_SETTLS bases PASS: build/musl/tls-after-serial.log; clone3/complete flags/errors remain; Final-thread exit queues configured parent signal once after all user frames retire; native SIGCHLD/session zombie test and host group-exit fixture PASS: build/musl/session-notify-probes-serial.log, build/musl/session-notify-threads-host.log; full siginfo/SA_NOCLDWAIT/reparent/wait clone options remain"
57,fork,common,sys_fork,routed_not_certified,LINUX_SYS_FORK,kernel/ntclks/syscall.c,3239,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
58,vfork,common,sys_vfork,routed_not_certified,LINUX_SYS_VFORK,kernel/ntclks/syscall.c,3239,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
59,execve,64,sys_execve,routed_not_certified,LINUX_SYS_EXECVE,kernel/ntclks/syscall.c,3222,partial_guest,"Static/dynamic musl thread contention, robust owner death, lifecycle, timed interruption and worker exec PASS: build/musl/namespace-probes-serial.log; six upstream Open POSIX pthread cases exit 0: build/musl/namespace-ltp-serial.log; reference Linux 6.12 tests PASS; LeonOS BSP only, PI/clone3 and complete restart semantics outstanding"
60,exit,common,sys_exit,routed_not_certified,LINUX_SYS_EXIT,kernel/ntclks/syscall.c,3213,partial_guest,"Static/dynamic musl thread contention, robust owner death, lifecycle, timed interruption and worker exec PASS: build/musl/namespace-probes-serial.log; six upstream Open POSIX pthread cases exit 0: build/musl/namespace-ltp-serial.log; reference Linux 6.12 tests PASS; LeonOS BSP only, PI/clone3 and complete restart semantics outstanding; Final-thread exit queues configured parent signal once after all user frames retire; native SIGCHLD/session zombie test and host group-exit fixture PASS: build/musl/session-notify-probes-serial.log, build/musl/session-notify-threads-host.log; full siginfo/SA_NOCLDWAIT/reparent/wait clone options remain"
61,wait4,common,sys_wait4,routed_not_certified,LINUX_SYS_WAIT4,kernel/ntclks/syscall.c,4202,partial_guest,"Static/dynamic musl thread contention, robust owner death, lifecycle, timed interruption and worker exec PASS: build/musl/namespace-probes-serial.log; six upstream Open POSIX pthread cases exit 0: build/musl/namespace-ltp-serial.log; reference Linux 6.12 tests PASS; LeonOS BSP only, PI/clone3 and complete restart semantics outstanding"
62,kill,common,sys_kill,routed_not_certified,LINUX_SYS_KILL,kernel/ntclks/syscall.c,4149,partial_guest,"Static/dynamic native frames/altstack/SIMD, shared process pending vs TID delivery, SIGALRM/exec and timed interruptions PASS: build/musl/fd-boundaries-after-serial.log; realtime queues, complete siginfo/default/error semantics outstanding"
63,uname,common,sys_newuname,routed_not_certified,LINUX_SYS_UNAME,kernel/ntclks/syscall.c,2873,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
64,semget,common,sys_semget,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
65,semop,common,sys_semop,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
66,semctl,common,sys_semctl,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
67,shmdt,common,sys_shmdt,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
68,msgget,common,sys_msgget,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
69,msgsnd,common,sys_msgsnd,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
70,msgrcv,common,sys_msgrcv,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
71,msgctl,common,sys_msgctl,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
72,fcntl,common,sys_fcntl,routed_not_certified,LINUX_SYS_FCNTL,kernel/ntclks/syscall.c,3523,partial_guest,"Shared OFD offsets/status, SCM references and Unix read/recv/readv close/reuse PASS: build/musl/namespace-probes-serial.log; fcntl01 exit 0: build/musl/namespace-ltp-serial.log; inode lifetime, PTY/INET and other blocking operations outstanding; fd allocation/limits and native parameter widths PASS: build/musl/fd-boundaries-after-serial.log; common allocator includes fd 0/3, dup2 expansion, SCM lowest-free fd and rollback. Full object lifecycle/flags remain in ledger"
73,flock,common,sys_flock,missing_dispatch,,,,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
74,fsync,common,sys_fsync,implemented_pending_runtime,LINUX_SYS_FSYNC,kernel/ntclks/syscall.c,3753,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
75,fdatasync,common,sys_fdatasync,implemented_pending_runtime,LINUX_SYS_FDATASYNC,kernel/ntclks/syscall.c,3753,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
76,truncate,common,sys_truncate,implemented_pending_runtime,LINUX_SYS_TRUNCATE,kernel/ntclks/syscall.c,3740,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
77,ftruncate,common,sys_ftruncate,routed_not_certified,LINUX_SYS_FTRUNCATE,kernel/ntclks/syscall.c,3473,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
78,getdents,common,sys_getdents,implemented_pending_runtime,LINUX_SYS_GETDENTS,kernel/ntclks/syscall.c,3915,partial_guest,Raw old linux_dirent record layout and cursor round trip PASS in build/musl/abi-probes-qemu-20260908-11.log for static and dynamic musl; ordinary directory inode/seek/lifetime semantics remain
79,getcwd,common,sys_getcwd,routed_not_certified,LINUX_SYS_GETCWD,kernel/ntclks/syscall.c,3924,partial_guest,LTP getcwd01 all 5 assertions PASS exit 0; full path lifecycle and limits remain in B15
80,chdir,common,sys_chdir,routed_not_certified,LINUX_SYS_CHDIR,kernel/ntclks/syscall.c,3943,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
81,fchdir,common,sys_fchdir,implemented_pending_runtime,LINUX_SYS_FCHDIR,kernel/ntclks/syscall.c,3729,not_verified,See LINUX_ABI_PROGRESS_2026-09-08.md; no full ABI certification
82,rename,common,sys_rename,routed_not_certified,LINUX_SYS_RENAME,kernel/ntclks/syscall.c,4017,partial_guest_and_host,Same-directory FAT32 replacement contents/mode/UID/GID/type/empty-directory checks PASS in static/dynamic musl guest; exFAT account publication exercised in normal QEMU; real ext2 fixture passes debugfs/e2fsck. Open-fd lifetime; cross-directory; error/crash transactions remain
